genotype	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
WATDE0082	0.0217587	0.0700759	0.00979385	-0.0410728	0.0103834	-0.016892	0.00950292	0.0417354	0.0410383	-0.0160687
WATDE0083	0.0208656	0.0183048	-0.0157954	0.00784074	-0.00225129	-0.0039398	-0.022295	-0.0186597	0.000685867	0.0417973
WATDE0084	0.0200399	0.0499918	-0.00241526	-0.0224316	0.00395041	-0.0153542	0.00287413	0.00922789	0.0187612	0.00361028
WATDE0085	0.0256298	0.00652481	-0.0310422	0.0160493	-0.00710554	0.00174348	-0.0290776	-0.0213208	-0.00507064	0.0398828
WATDE0086	0.0130344	0.0530605	0.0147504	-0.0317471	0.00706925	-0.0154738	0.00982725	0.028875	0.0203936	-0.00628781
WATDE0087	-0.0235359	0.0246213	-0.00429842	0.0219312	0.0179142	0.0274224	-0.0257557	0.0148802	0.0231211	0.00755361
WATDE0088	-0.0390584	-0.00786215	0.0906832	-0.0193432	-0.0284792	0.00890423	-0.0437729	-0.0250826	4.86E-05	-0.0079908
WATDE0089	0.0222787	0.0360277	-0.000313342	-0.00514321	-0.00117417	-0.00229893	-0.00907041	0.0169118	0.011844	-0.0237933
WATDE0090	0.0199569	-0.00134844	0.0333076	-0.00970509	-0.0121347	-0.00835312	0.011437	0.0327329	0.0210296	-0.025914
WATDE0091	0.0336167	-0.0159503	-0.0181793	0.031113	0.00159059	0.00263414	0.00253998	-0.00853575	-0.00471061	0.0292685
WATDE0092	0.0365864	-0.127873	0.01625	-0.0539106	0.215478	-0.111901	-0.0644391	-0.0291394	0.0275607	-0.0283271
WATDE0093	-0.0596393	0.0115834	-0.0245995	0.0146697	0.0308476	0.0225163	0.0436224	-0.000352269	-0.0509099	-0.0149373
WATDE0094	-0.0891344	-0.00966146	-0.0705628	0.0146106	-0.0500547	-0.116773	-0.00014357	0.00708479	-0.000363386	-0.0241947
WATDE0095	-0.0797361	-0.0111494	-0.0550432	0.0176056	-0.0450623	-0.107433	0.0155706	-0.0238603	0.0247277	-0.0382471
WATDE0096	-0.0851953	-0.00085294	-0.0225776	0.00831258	0.0283213	0.0364989	0.0276137	-0.00150151	0.0156014	-0.0139989
WATDE0097	-0.0711939	-0.0242581	0.0406038	0.00795911	-0.0141675	0.0105618	-0.0451791	-0.00233282	-0.000550374	0.0237122
WATDE0098	-0.0865945	0.00327339	0.0131307	0.021217	0.0324301	0.0570075	-0.00441835	-0.0231882	0.10577	0.0362741
WATDE0099	0.0167934	0.0441832	-0.00311745	-0.0158933	0.00980355	-0.00996276	0.0146563	-0.0204031	-0.0373511	0.0444682
WATDE0101	-0.0773148	-0.00181881	-0.0407031	0.00360948	0.019994	0.00375844	0.053164	0.0190316	-0.0813371	-0.0495412
WATDE0102	-0.00588074	0.0184106	-0.0326789	0.0259124	0.0198389	0.0202174	0.00977472	-0.0283276	-0.0369038	0.00558559
WATDE0103	0.0174267	0.0554401	0.00622745	-0.0338827	0.00594968	-0.0114399	0.0112303	0.00779327	0.0114247	0.00268721
WATDE0104	0.0356325	-0.0546664	0.028878	0.029853	-0.0139755	-0.012917	0.0634483	-0.0312088	0.00725204	0.0255689
WATDE0105	-0.0313432	-0.00961125	0.100127	-0.0332516	-0.04166	0.00859165	-0.0737324	-0.0460982	-0.084761	-0.00907365
WATDE0106	-0.0356689	-0.00432865	0.0980815	-0.0257862	-0.0328412	0.00563077	-0.0549346	-0.0302609	-0.0283425	-0.00546957
WATDE0107	-0.0195936	0.0319041	0.0464159	-0.0328306	-0.0152316	0.00615426	-0.0479072	-0.0326923	-0.0116886	-0.00634791
WATDE0108	0.0180284	0.0569893	0.00674706	-0.0313411	0.00592285	-0.0128786	0.00838132	0.0189733	0.0221139	-0.000827571
WATDE0109	0.0202885	0.0617036	0.0072216	-0.0351723	0.0114948	-0.0133627	0.0102246	0.0324249	0.0255044	-0.00542094
WATDE0110	0.0124469	0.015673	0.0380331	-0.0641992	-0.0122766	-0.00792569	0.0238729	0.0493092	-0.0149303	0.0157652
WATDE0111	0.0123476	0.0156952	0.037998	-0.0639955	-0.0122763	-0.00800167	0.0238511	0.0492066	-0.0149278	0.0157471
WATDE0112	-0.0130764	-0.000252204	-0.0551545	0.0244142	-0.0388555	-0.0706382	-0.0500875	-0.0154618	-0.00338884	0.0344931
WATDE0113	-0.026291	-0.00913221	0.108649	-0.0352276	-0.0425632	0.00749589	-0.0739096	-0.0454585	-0.105583	-0.0066109
WATDE0114	-0.057927	0.0090677	0.03246	-0.00651831	0.00909125	0.0422861	-0.0552717	-0.0300697	-0.0224321	0.0194477
WATDE0115	-0.0426158	0.00931687	-0.0263684	-0.00241583	-0.0214591	-0.039845	-0.00757641	-0.032471	0.00739042	0.0260341
WATDE0116	-0.00682249	-0.0307099	-0.0341253	0.0115775	-0.00449035	0.0133388	0.0167059	0.00406165	-0.0268779	-0.0135942
WATDE0117	-0.0656278	0.0074396	-0.0405083	-0.00348674	-0.0427225	-0.0777603	-0.0163543	-0.0335108	0.0302318	0.00651595
WATDE0118	-0.096459	-0.0348383	-0.0443873	0.0151777	-0.0852042	-0.15392	-0.0184142	0.0380388	-0.00321799	-0.0293788
WATDE0119	0.0131786	0.054306	0.0135377	-0.0319258	0.00520873	-0.0122159	0.0113331	0.0155147	0.0181655	-0.00964744
WATDE0120	0.0222533	-0.00652853	-0.0103882	0.0295222	0.00782896	-0.0029068	0.0486634	-0.0194892	-0.00711461	0.0390434
WATDE0121	0.0222447	-0.00649662	-0.0103908	0.0295151	0.00782108	-0.0029155	0.0486648	-0.0194832	-0.00709754	0.0390116
WATDE0122	-0.0652497	-0.0198425	0.0454272	0.0180471	0.00899596	0.0359911	-0.00383673	0.00323995	0.0668356	0.00938178
WATDE0123	0.0311075	-0.0433169	0.0236283	0.0233302	-0.0128805	-0.014098	0.0517891	-0.00930542	-0.0111235	0.0537625
WATDE0124	0.0161803	-0.0415566	0.00981634	0.0365517	0.00517899	0.00226324	0.0501909	0.0212683	-0.0191438	0.0512257
WATDE0126	0.0383269	-0.063005	0.02105	0.0363357	-0.00384937	-0.0105972	0.0560541	-0.0180055	0.0126292	0.0279192
WATDE0127	0.0379535	-0.0413682	0.00623912	0.0377149	-0.0159816	0.00119302	0.00252282	0.0164004	-0.00269959	0.0191955
WATDE0129	0.0164887	-0.0168919	0.0290925	0.0067054	-0.0106911	-0.0132601	0.0314531	-0.0082449	-0.0154171	0.0226032
WATDE0131	-0.00902856	0.0281668	-0.00874268	-0.0372959	0.0253221	0.0218761	0.0650443	0.0143631	-0.0613541	-0.0203406
WATDE0133	0.0216106	0.0438635	-0.00129568	-0.00828295	0.00809224	-0.00852606	0.00493864	0.0149394	-0.0114791	0.0169661
WATDE0134	0.0337581	0.0127908	-0.0199144	0.0240309	-0.00509889	0.00865529	-0.00204872	-0.121768	0.024014	-0.0994656
WATDE0136	0.0173771	0.0565062	0.0113378	-0.0283955	0.00682011	-0.0140047	0.00688957	0.0252208	0.0251092	-0.0114618
WATDE0138	0.01986	0.0329449	0.0387199	-0.0355204	-0.00698194	-0.0208365	0.011473	0.037551	0.0133378	-0.00508771
WATDE0140	0.0184961	0.0146524	0.00269551	0.0135468	-0.00253409	0.000495821	-0.00451441	0.00522907	0.00209261	-0.00402816
WATDE0141	0.0276636	0.00103029	-0.00725494	0.023602	-0.00177036	-0.00138721	0.00719147	-0.00763391	0.00513212	0.00808198
WATDE0143	0.0167502	0.053648	0.00991436	-0.0545558	0.0111771	-0.00863181	0.0250805	0.0237332	-0.0312267	0.0334591
WATDE0144	0.016848	0.0537243	0.0099563	-0.0547269	0.0112419	-0.00859244	0.0251302	0.0238501	-0.0312294	0.0335342
WATDE0145	0.016722	0.0536246	0.00989269	-0.054499	0.011166	-0.00864961	0.0250778	0.0236822	-0.0312326	0.0334529
WATDE0146	0.0167511	0.0536441	0.00991253	-0.0545438	0.0111871	-0.00862351	0.0250899	0.0237199	-0.0312229	0.0334555
WATDE0148	0.0356765	-0.0155885	-0.0134001	0.0353727	-0.00152352	-0.00339522	0.0349011	-0.0493321	-0.000654828	-0.00934311
WATDE0149	0.0150884	0.0150697	-0.00188942	0.00237358	0.0121063	-0.00719972	0.0490592	-0.0165215	-0.036645	0.0423543
WATDE0150	0.0252856	-0.00423834	0.00419797	0.0153704	0.00357425	-0.0130895	0.0418597	-0.0242695	-0.00578648	0.0478861
WATDE0152	0.00920505	0.0438437	-0.0102879	-0.0020963	0.0168684	0.00414392	0.00433417	0.0258248	-0.0162204	0.0125692
WATDE0153	-0.015628	0.0410987	-0.0111352	-0.00809932	0.0349238	0.0137178	0.053116	0.0131094	-0.0692417	0.0179583
WATDE0154	0.0265836	-0.0461982	0.0112965	0.00506567	-0.0126053	-0.0083541	0.0495045	-0.0198166	-0.0150284	0.0306429
WATDE0156	0.0300644	-0.00901866	-0.00346622	0.0138378	0.00313702	-0.00637334	0.0570972	-0.0385144	-0.00354441	0.0188879
WATDE0157	0.0208628	0.0386489	0.00243207	-0.0060774	0.00706711	-0.0102803	0.0163844	0.00611665	0.0104134	0.0224435
